# Price, Year of Construction, # of rooms, # of bedrooms, # of bathrooms, # of power rooms, # of garages
277900,1966,11,4,2,0,0
315000,1965,9,4,2,0,3
218900,2003,6,2,1,0,2
289500,2012,5,2,1,0,0
339900,1987,10,4,2,1,2
209900,1987,5,2,1,0,0
549000,1981,10,4,2,1,1
220700,2014,6,2,1,0,0
268000,1971,10,5,2,0,0
499000,1981,10,5,1,3,1
289000,1972,9,5,2,0,0
595000,2011,6,2,1,1,3
219000,1994,6,3,1,0,0
235000,2008,7,2,1,1,0
1698000,2002,18,5,3,1,3
214900,2012,5,2,1,0,0
389000,1976,12,5,3,1,0
444000,1981,10,4,1,1,0
425000,2001,8,5,2,0,2
698000,2007,11,5,3,1,2
2290000,2011,15,5,5,2,2
249000,1959,10,3,2,0,0
335000,2012,6,3,2,0,1
598000,2011,10,4,3,1,3
998000,2009,12,6,4,1,2
409000,1957,9,3,2,0,0
265000,1971,9,3,2,0,1
319000,2000,5,3,2,0,1
329000,1973,8,3,1,0,2
329000,1975,12,6,2,1,0
299000,1969,10,3,2,0,3
659000,1990,10,4,3,1,2
775000,1988,8,3,2,0,0
379000,2000,9,3,2,0,3
325000,1981,8,3,2,0,0
584900,1984,20,6,3,1,2
738000,2008,9,4,3,1,3
579500,1987,16,4,3,1,3
339000,1974,9,5,3,0,2
759000,2012,15,6,3,1,3
528000,1981,10,4,2,1,2
259000,2002,7,2,1,0,0
236000,2004,6,2,1,0,1
315000,2006,6,2,1,0,1
309000,1965,11,4,1,1,0
485000,2013,12,4,2,1,1
324900,1989,7,3,2,0,1
699000,1986,12,6,3,1,3
289000,2007,8,2,1,1,0
234000,2007,6,2,1,0,0
1580000,2013,28,7,5,1,4
389000,2001,8,3,1,0,1
333000,1968,9,3,2,0,0
269900,2011,5,2,1,0,1
284900,1988,5,2,2,0,3
209000,2004,8,2,1,0,0
919000,1996,24,6,2,2,1
329000,2012,5,2,1,0,1
249900,2004,5,2,1,0,3
219900,2008,8,2,1,0,0
339000,1988,5,2,2,0,2
369000,1968,8,4,2,0,3
329000,1972,8,4,2,1,2
419000,1979,17,6,3,0,4
314500,2007,8,2,1,0,3
625000,2002,10,5,3,1,2
237500,2006,5,2,1,1,0
254000,2006,8,3,1,1,0
348000,1964,9,4,2,0,0
278000,1964,10,6,2,0,2
449900,2009,8,4,1,1,0
1650000,2011,12,5,3,1,2
369900,1988,6,2,2,0,0
409000,2012,9,2,2,0,2
420000,1985,9,4,2,1,2
239000,2012,5,1,1,0,0
218000,2009,5,2,1,0,2
319000,1966,8,3,1,1,0
439000,1987,9,4,2,1,2
1450000,2010,19,5,3,1,3
375000,1999,8,4,1,1,0
349000,1963,10,4,2,0,1
220000,1991,5,2,1,1,2
289900,2005,5,2,1,1,0
339000,1962,8,4,2,0,0
575000,2014,8,3,2,0,1
349900,1976,8,4,2,0,2
439000,1981,10,4,3,0,2
589000,2003,15,6,2,1,3
1388000,2011,14,5,4,1,3
360000,1984,8,3,1,1,0
775000,2006,20,8,4,0,1
499000,2005,10,4,2,2,0
265000,2000,9,3,2,0,3
418000,1987,8,4,2,1,2
839000,2008,15,7,3,1,2
1050000,2004,12,6,3,1,1
349000,1977,11,5,2,0,0
568000,2003,14,4,3,1,2
289900,1972,7,3,2,0,0
229000,2007,5,2,1,0,0
659000,2000,11,5,3,1,1
399000,2002,7,3,2,0,4
212000,2007,8,2,1,0,2
224000,1983,8,3,2,0,0
389000,1973,8,4,2,0,2
209000,1985,6,2,1,0,3
469000,2000,8,2,2,1,3
649000,2010,13,6,3,1,4
375000,1989,9,3,2,1,1
318000,1970,7,5,3,0,0
479000,2006,9,4,2,1,1
379000,2011,8,3,2,0,0
399000,1986,9,3,2,1,0
349000,1972,8,4,2,0,3
735000,1990,15,6,4,1,3
1695000,2011,13,5,3,2,3
237900,1987,7,2,1,0,3
219000,2006,6,2,1,0,0
329000,1972,10,4,2,0,3
2295000,2011,20,5,3,3,4
359900,2013,8,2,1,1,3
379000,1974,11,5,2,1,2
261829,2012,4,2,1,0,4
529000,2004,9,4,2,1,2
475000,2002,9,3,2,0,2
246000,2005,7,2,1,0,0
369900,1988,9,3,2,0,0
244000,1966,11,4,1,0,0
880000,2004,14,6,2,1,2
